;userID;ISBN;bookRating
11050;4017;006000438X;10
54055;76483;1557100160;9
6863;36135;014025448X;8
20001;132679;1853260274;10
5667;129099;1556611536;9
24886;9856;067152609X;4
34008;22154;1891506498;9
8124;81611;039487336X;7
64639;132663;1587611449;9
23518;98655;1551669455;9
20791;24186;1555835821;8
9045;120030;055356451X;8
43532;68121;1929527012;10
56684;89307;1551664828;8
19487;30735;080411109X;9
13473;32773;089480829X;9
40789;42798;038072703X;9
19232;6242;1569471169;5
51165;79244;1561707201;9
40707;32793;2070374637;9
57949;95365;1565611047;8
23371;54206;1400060737;10
20008;44531;067940712X;8
49681;56586;1556590636;5
15249;80837;140003065X;5
278;36606;055310666X;5
25327;10354;1591822076;10
58273;97945;1558743863;5
54792;80077;1896860656;7
16873;76499;039396647X;10
31187;16795;1570640157;5
19017;23582;042516019X;8
20420;90090;015600464X;7
62804;120178;1551052601;7
4655;36715;068482499X;10
23679;8454;044041833X;9
66923;152309;1903650550;10
3019;98263;1400034779;10
51595;126492;1584855215;6
42547;36244;159279999X;10
38569;85067;078581485X;5
52335;69078;055307038X;7
11714;109372;080213825X;5
50045;57354;1889135054;10
607;23571;031286504X;10
62401;115692;031215660X;3
58066;96164;1558582312;9
66591;148798;1569870802;10
5694;129690;1558745017;10
32256;32773;1580050751;5
63051;123203;1558533834;5
56349;87929;1885203640;8
38035;28938;000712032X;10
24840;9747;1558020837;5
44458;39133;031205064X;6
21929;140167;034538430X;1
35312;24838;1581821875;5
46002;44190;1878246046;5
58497;98391;055358670X;10
63625;126697;1573751553;10
44611;39616;1574862537;9
49077;55438;1576739279;6
63781;143175;1559277491;9
28431;14173;084311861X;8
26719;105054;006447108X;7
8796;112093;044922046X;5
49801;56959;044021355X;10
6228;58004;1573229075;9
62563;123981;044020898X;8
64739;133886;1583225382;8
25106;10061;1589610024;9
50296;93596;1558171363;9
52199;68760;1560760540;8
46451;46398;1932234411;8
60041;101851;4770027818;9
56230;95238;1570620253;7
43106;36673;055380300X;7
46645;47381;1585671894;8
11847;11601;1573225789;10
5537;85526;1882663128;9
4794;51663;055328942X;7
10229;16777;1853260053;10
15196;2891;074325547X;8
54594;78846;088419762X;3
18823;67775;1551668483;7
34993;23872;1885266006;9
43783;37426;1551665573;7
21352;132083;1401300316;10
27528;12824;1569314071;10
33028;20265;1879237970;5
58202;143253;006443253X;10
31601;28523;014034019X;10
34269;23288;059074240X;10
27542;12824;1569319499;8
26879;104868;1573220167;9
61730;112083;1591820553;7
44236;107784;188891419X;9
57922;95359;1558534598;6
66286;146465;2020367424;6
13915;106846;038082101X;7
5928;123883;051511779X;5
32714;33180;015668568X;8
41146;34300;1565120914;8
18701;5459;1558748040;8
65157;136439;1576738841;7
22578;30972;034537536X;8
11539;111124;006101351X;6
31128;144017;1561451827;6
10796;7684;1558745718;7
14324;2110;1558504184;8
35467;123883;050552208X;5
20214;43511;1841954608;8
60941;107784;044012462X;5
12603;49168;039914563X;8
58214;98391;1413702740;5
3964;83109;067976397X;10
37279;27472;1887166475;8
60688;106131;157061105X;10
7609;90761;030700113X;5
61397;110934;034529887X;7
18774;5582;067973225X;10
45870;116183;1578590450;9
217;97290;043935806X;10
45494;42718;1903035058;10
46601;47293;031242227x;2
58737;98391;1578567769;10
11229;37644;059043893X;4
24360;61901;074322423X;9
48676;141600;1583225366;8
33237;20971;068506106X;6
13107;117132;051513399X;8
2684;104113;080410753X;8
